institute	id_number	project	higher_group	family	genus	species	standard	buffer	mean1	mean2	cv1	cv2	ratio	ave_sample	ave_standard	gs_pg_2c	gs_pg_1c	x1c_gbp	cv_sample	cv_standard	sd_r_sample	measured_by	date	d_to_l_specimen_id	previous_estimate_2c_prime	comments_on_d_to_l_sample	x28	x29	x30	primary
Offsite	MC9010	DTOL	Angiosperm	Poaceae	Holcus	mollis	>Petro	GPB3%PVPBmet	309.38	527.77	2.86	2.43	2.128	536.03	316.3	7.63	3.81	3.73	2.38	2.72	0.005	Sahr Mian	8/5/2020	KDTOL10013	5.5 (1993)* 8.18 (1993)* 8.40 (1984)	NA	NA	NA	period where Paris was unavailable so Fritillaria/Edelweiss were used	1
Offsite	MC9011	DTOL	Angiosperm	Urticaceae	Urtica	urens	<Solanum	GPB3%PVPBmet	204.56	409.01	4.05	3.78	1.999	222.0133333	436.37	1.02	0.51	0.5	3.67	3.8	0.038	Sahr Mian	8/6/2020	KDTOL10014	0.6 (1967)* 1.07 (2003)	peaks showed endopolypoidy, peaks overlapping wth standard peaks - messy	NA	NA	NA	1
Offsite	MC9012	DTOL	Angiosperm	Urticaceae	Urtica	dioica	<Petro	GPB3%PVPBmet	305.69	566.17	2.8	2.71	1.852	313.8533333	576.0766667	2.45	1.23	1.2	3.23	2.87	0.018	Sahr Mian	8/6/2020	KDTOL10015	1.04 (2016) 1.22 (2011) 2.34(2003) 3.2(1989)*	NA	NA	NA	NA	1
Offsite	MC9013	DTOL	Angiosperm	Polygonaceae	Persicaria	maculosa	>Solanum	GPB3%PVPBmet	233.88	412.32	3.71	3.64	1.732	420.0333333	242.52	3.46	1.73	1.69	3.62	4.1	0.017	Sahr Mian	8/6/2020	KDTOL10016	3.9 (2012)*	NA	NA	NA	NA	1
Offsite	MC9014	DTOL	Angiosperm	Convolvulaceae	Calystegia	sepium	<Solanum	GPB3%PVPBmet	254.29	346	3.8	3.28	1.361	268.55	363.23	1.48	0.74	0.72	3.79	3.28	0.008	Sahr Mian	8/6/2020	KDTOL10017	1.42 (2012)*	LB and Ebihara tried	NA	NA	NA	1
Offsite	MC9015	DTOL	Angiosperm	Lythraceae	Lythrum	salicaria	>Solanum	GPB3%PVPBmet	226.04	371.76	3.91	3.07	1.645	395.46	244.25	3.24	1.62	1.58	3.46	3.72	0.023	Sahr Mian	8/6/2020	KDTOL10018	no previous estimate	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9016	DTOL	Angiosperm	Lamiaceae	Lycopus	europaeus	No data as sample was quite messy, all buffers tried, recollect next year	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KDTOL10019	NA	NA	NA	NA	NA	1
Offsite	MC9017	DTOL	Angiosperm	Verbenaceae	Verbena	officinalis	<Solanum	GPB3%PVPBmet	216.46	604.43	3.96	2.32	2.847	213.13	589.5666667	0.72	0.36	0.35	4.13	2.54	0.058	Sahr Mian	8/7/2020	KDTOL10020	no previous estimate	Repeated with LB, OXPRO and again with GPB	NA	NA	Sanger - low DNA yield	1
Offsite	MC9018	DTOL	Angiosperm	Asteraceae	Arctium	minus	>Solanum	GPB3%PVPBmet	219.22	467.87	2.8	2.47	2.134	474.1833333	224.4233333	4.23	2.11	2.07	2.18	2.68	0.022	Sahr Mian	8/7/2020	KDTOL10022	3.75*, 4.07 (2013) 4.40 (2012)	Sanger - low DNA yield	NA	Stopped using Fritillaria as it was giving skewed peaks	NA	1
Offsite	MC9019	DTOL	Angiosperm	Juncaceae	Juncus	effusus	<Solanum	GPB3%PVPBmet	123.95	420.95	3.12	2.62	3.316	129.3166667	430.53	0.6	0.3	0.29	2.97	2.48	0.044	Sahr Mian	8/7/2020	KDTOL10021	0.6 (1988)*	NA	NA	NA	NA	1
Offsite	MC9020	DTOL	Angiosperm	Boraginaceae	Borago	officinalis	>Solanum	GPB3%PVPBmet	203.87	336.35	3.33	3.91	1.65	349.6733333	213.6966667	3.27	1.64	1.6	3.75	3.26	0.012	Sahr Mian	8/7/2020	KDTOL10023	3.5 (1995)*	Sample left in the fridge for a while and had some damage to leaves	NA	NA	NA	1
Offsite	MC9021	DTOL	Angiosperm	Plantaginaceae	Misopates	orontium	<Solanum	GPB3%PVPBmet	220.89	449.21	4.86	3.03	3.316	234.42	470.0566667	1	0.5	0.49	4.54	2.89	0.044	Sahr Mian	8/7/2020	KDTOL10024	0.88 (2012)*	Tried with LB and OXPRO, best peaks with Gpb	NA	NA	NA	1
Offsite	MC9022	DTOL	Monilophyte	Pteridaceae	Adiantum	capillus-veneris	>Petro	Ebihara	215	578.11	3	4	2.689	595.39	226.81	11.81	5.91	5.78	3.6	2.91	0.066	Sahr Mian	8/10/2020	KDTOL10025	10.96 (2013)*	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9023	DTOL	Monilophyte	Aspleniaceae	Asplenium	scolopendrium	<Allium	Ebihara	290.49	588.78	2.96	2.34	2.027	299.6266667	601.29	17.39	8.69	8.5	2.8	1.96	0.017	Sahr Mian	8/10/2020	KDTOL10026	15.93 (2013) 16.86 (2019)*	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9024	DTOL	Angiosperm	Fabaceae	Medicago	arabica	<Solanum	GPB3%PVPBmet	271.99	439.83	3.32	2.72	1.617	276.9833333	445.6933333	1.24	0.62	0.61	3.15	2.8	0.009	Sahr Mian	8/10/2020	KDTOL10027	1.12 (2016)*	NA	NA	NA	NA	1
Offsite	MC9025	DTOL	Angiosperm	Asteraceae	Eupatorium	cannabinum	<Pisum	GPB3%PVPBmet	355.02	587.49	3.2	2.78	3.237	367.2566667	608.2733333	5.49	2.74	2.68	3.46	2.72	0.043	Sahr Mian	8/10/2020	KDTOL10028	4.77 (2013) 4.93 (2009) 5.15 (2010)*	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9026	DTOL	Angiosperm	Convolvulaceae	Convolvulus	arvensis	<Solanum	GPB3%PVPBmet	418.61	643.62	3.05	3.09	1.539	443.1466667	675.5166667	1.31	0.66	0.64	3.17	3.13	0.013	Sahr Mian	8/10/2020	KDTOL10029	1.33 (2013)* 2.92 (2013) 3.6 (1998)	NA	NA	NA	NA	1
Offsite	MC9027	DTOL	Angiosperm	Caryophyllaceae	Stellaria	media	<Petro	GPB3%PVPBmet	283.28	556.6	3.22	2.33	1.852	297.85	577.42	2.32	1.16	1.14	3.23	2.6	0.018	Sahr Mian	8/11/2020	KDTOL10030	2.10 (1972)* 2.30 (1983) 1.44 (2013 4.23 (2013)	NA	Paris working again	NA	NA	1
Offsite	MC9028	DTOL	Angiosperm	Plantaginaceae	Veronica	chamaedrys	<Petro	GPB3%PVPBmet	305.55	353.74	2.39	1.97	1.852	308.3566667	356.8866667	3.89	1.94	1.9	2.22	1.77	0.018	Sahr Mian	8/11/2020	KDTOL10031	2.98 (2003)* 3.72 (2012)	NA	NA	NA	NA	1
Offsite	MC9029	DTOL	Monilophyte	Osmundaceae	Osmunda	regalis	<Allium	Ebihara	538.12	639.98	3.75	2.29	2.027	555.49	667.0766667	29.05	14.53	14.21	3.66	2.32	0.017	Sahr Mian	13/8/2020	KDTOL10032	28.01 (2011)*	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9030	DTOL	Angiosperm	Cucurbitaceae	Bryonia	dioica	>Solanum	GPB3%PVPBmet	262.6	431.71	3.46	2.42	1.65	437.92	268.7666667	3.26	1.63	1.59	2.71	3.23	0.012	Sahr Mian	14/8/2020	KDTOL10033	3.30 (1975)* 5.63 (2012)	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9031	DTOL	Angiosperm	Polygonaceae	Fallopia	convolvulus	<Solanum	GPB3%PVPBmet	377.56	548.99	3.97	3.1	1.539	405.7266667	581.9766667	1.39	0.7	0.68	3.94	3.16	0.013	Sahr Mian	14/8/2020	KDTOL10034	1.4 (1992)*	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9032	DTOL	Angiosperm	Solanaceae	Solanum	dulcamara	<Petro	GPB3%PVPBmet	324.08	593.98	2.7	2.16	1.833	331.8366667	603.8033333	2.47	1.24	1.21	2.62	2.08	0.013	Sahr Mian	9/1/2020	KDTOL10035	1.6 (1983) 2.20 (2013)* 2.30 (1984) 2.30 (2012)	NA	NA	NA	NA	1
Offsite	MC9033	DTOL	Angiosperm	Fabaceae	Vicia	cracca	>Pisum	GPB3%PVPBmet	353.07	685.22	2.39	2.67	3.002	692.6466667	357.46	17.61	8.81	8.61	2.38	2.12	0.016	Sahr Mian	13/8/2020	KDTOL10036	5.84 (2013)* 10.60 (1971)* 14.40 (1983)	NA	NA	NA	NA	1
Offsite	MC9034	DTOL	Angiosperm	Lamiaceae	Stachys	palustris	<Petro	GPB3%PVPBmet	320.94	411	2.68	2.12	1.852	328.0933333	419.4366667	3.52	1.76	1.72	2.6	2.02	0.018	Sahr Mian	13/8/2020	KDTOL10037	no previous estimate	NA	NA	NA	NA	1
Offsite	MC9035	DTOL	Angiosperm	Cannabaceae	Humulus	lupulus	<Pisum	GPB3%PVPBmet	267.07	419.74	2.61	2.24	1.572	278.2	431.3166667	5.86	2.93	2.87	2.74	2.29	0.019	Sahr Mian	9/1/2020	KDTOL10038	5.8 (2005)	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9036	DTOL	Angiosperm	Polygonaceae	Rumex	hydrolapathum	>Pisum	GPB3%PVPBmet	212.72	373.88	2.69	2.81	1.758	393.84	286.2933333	12.5	6.25	6.11	2.84	2.53	0.018	Sahr Mian	9/1/2020	KDTOL10039	no previous estimate	NA	NA	NA	NA	1
Offsite	MC9037	DTOL	Angiosperm	Rosaceae	Filipendula	ulmaria	<Solanum	OXPRO	237.63	602.63	3.88	2.09	1.539	247.8166667	619.0133333	0.8	0.4	0.39	3.88	2.46	0.013	Sahr Mian	14/8/2020	KDTOL10040	no previous estimate	NA	NA	NA	NA	1
Offsite	MC9038	DTOL	Angiosperm	Betulaceae	Alnus	glutinosa	<Solanum	OXPRO	355.11	629.76	3.16	2	1.539	364.6833333	639.61	1.14	0.57	0.56	2.22	3.12	0.013	Sahr Mian	14/8/2020	KDTOL10041	1.01 (2016)* 1.10 (1984)* 2.01 (2010)	NA	NA	NA	NA	1
RBGE	ZAG1888	DTOL	Angiosperm	Ranunculaceae	Trollius	europaeus	>Petro	GPB3%PVPBmet	287.25	638.09	2.45	2.37	2.221	655.3433333	295.9	9.97	4.98	4.87	1.98	1.94	0.006	Sahr Mian	8/11/2020	NA	8.83 (2005)*	NA	NA	NA	NA	1
RBGE	ZAG1892	DTOL	Angiosperm	Ericaceae	Calluna	vulgaris	<Solanum	GPB3%PVPBmet	239.35	382.18	4.26	2.84	1.597	244.9633333	387.98	1.26	0.63	0.62	4.38	2.99	0.012	Sahr Mian	8/11/2020	NA	no previous estimate	NA	NA	NA	NA	1
RBGE	ZAG1880	DTOL	Angiosperm	Cistaceae	Helianthemum	nummularium	<Pisum	GPB3%PVPBmet	420.43	587.11	2.25	1.75	1.396	426.5033333	597.46	6.49	3.24	NA	2.17	1.79	0.005	Sahr Mian	8/11/2020	NA	4.5 (1989)* 1.78, 6.30 (2013)	NA	NA	NA	NA	1
RBGE	ZAG1881	DTOL	Angiosperm	Saxifragaceae	Saxifraga	oppositifolia	<Petro	GPB3%PVPBmet	318.09	458.92	3.72	2.62	1.443	332.5633333	475.16	3.15	1.57	1.54	4.3	2.95	0.017	Sahr Mian	8/11/2020	NA	2.93 (2013)*	tough sample to work with limited material available	NA	NA	NA	1
RBGE	ZAG1873	DTOL	Angiosperm	Elaeagnaceae	Hippophae	rhamnoides	<Petro	GPB3%PVPBmet	295.16	449.69	3.81	2.03	1.531	307.6433333	463.53	2.99	1.49	1.46	3.87	2.25	0.022	Sahr Mian	8/11/2020	NA	no previous estimate	NA	NA	NA	NA	1
RBGE	ZAG1874	DTOL	Angiosperm	Caryophyllaceae	Dianthus	deltoides	<Solanum	GPB3%PVPBmet	215.52	447.26	2.33	3.15	2.075	222.0666667	457.95	0.97	0.48	0.47	2.34	3.11	0.013	Sahr Mian	8/11/2020	NA	no previous estimate	G2 sample peak overlap with standard	NA	NA	NA	1
RBGE	ZAG1879	DTOL	Angiosperm	Oxalidaceae	Oxalis	acetosella	<Pisum	GPB3%PVPBmet	349.94	559.55	2.81	1.92	1.599	355.1066667	565.0266667	5.71	2.86	2.79	2.79	1.74	0.009	Sahr Mian	8/11/2020	NA	5.31 (2013)* 5.7 (2005) 6.2 (2012) 2.4 (1979)	NA	NA	NA	NA	1
RBGE	ZAG1883	DTOL	Angiosperm	Poaceae	Danthonia	decumbens	<Pisum	GPB3%PVPBmet	279.96	559.98	2.7	1.65	2.001	287.0166667	568.0366667	4.59	2.3	2.25	2.68	1.6	0.021	Sahr Mian	8/11/2020	NA	3.95 (2014)* 5.90 (1989)	NA	NA	NA	NA	1
RBGE	ZAG1877	DTOL	Angiosperm	Iridaceae	Iris	pseudacorus	>Pisum	GPB3%PVPBmet	395.93	531.99	1.88	2.51	1.344	535.5033333	400.6733333	12.15	6.07	5.94	2.33	2.01	0.010	Sahr Mian	8/12/2020	NA	11.33 (2010)* 11.04 (2013) 12.80 (1988) 11.20 (2005)	NA	NA	NA	NA	1
RBGE	ZAG1882	DTOL	Angiosperm	Plumbaginaceae	Armeria	maritima	>Petro	GPB3%PVPBmet	197.47	410.85	2.79	2.01	2.221	416.77	202.83	9.25	4.62	4.52	2.53	2.81	0.006	Sahr Mian	8/12/2020	NA	8.55 (1993)* 8.20 (1996) 9.10 (1996)	Few nuclei in leaves, ran whole specimen	NA	NA	NA	1
RBGE	ZAG1884	DTOL	Angiosperm	Fabaceae	Lotus	corniculatus	<Petro	GPB3%PVPBmet	391.69	652.65	2.59	1.76	1.666	403.2666667	665.9266667	2.73	1.36	1.33	2.65	1.79	0.013	Sahr Mian	8/12/2020	NA	1.64 (2013)* 2.37 (2013)* 2.6 (2012)	NA	NA	NA	NA	1
RBGE	ZAG1885	DTOL	Angiosperm	Poaceae	Briza	media	<Pisum	GPB3%PVPBmet	383.63	521.56	1.75	1.74	1.36	390.6566667	528.96	6.71	3.36	3.28	1.69	1.6	0.006	Sahr Mian	8/12/2020	NA	15.10 10.40 (1983)* , Kew previous estimate 6.7	NA	NA	NA	NA	1
RBGE	ZAG1889	DTOL	Angiosperm	Salicaceae	Salix	lanata	<Solanum	GPB3%PVPBmet	244.03	545.49	3.91	2.26	2.075	251.4	558.4233333	0.9	0.45	0.44	3.82	2.33	0.013	Sahr Mian	8/12/2020	NA	no previous estimate	recollect in spring	NA	NA	NA	1
RBGE	ZAG1891	DTOL	Angiosperm	Betulaceae	Betula	nana	<Solanum	GPB3%PVPBmet	261.62	484.63	4.6	2.59	2.075	273.88	503.95	1.09	0.54	0.53	4.38	2.67	0.013	Sahr Mian	8/12/2020	NA	0.92 (2012) 1.00 (2016)	recollect in spring	NA	NA	NA	1
RBGE	ZAG1886	DTOL	Gymnosperm	Cupressaceae	Juniperus	communis	<Allium	GPB3%PVPBmet	337.31	522.13	3.21	2.74	2.027	343.3533333	533.5733333	22.45	11.23	10.98	3.27	2.11	0.017	Sahr Mian	8/12/2020	NA	19.67 (2010)* 22.90 (2012) , 22.97 previous kew measurement	ran with GPB, LB and Ebihara	NA	NA	NA	1
RBGE	ZAG1875	DTOL	Monilophyte	Dennstaedtiaceae	Pteridium	aquilinum	>Pisum	GPB3%PVPBmet	254.25	472.83	1.91	3.77	1.344	498.8833333	263.6566667	17.2	8.6	8.41	3.41	2.36	0.010	Sahr Mian	13/8/2020	NA	14.82 (2013)* 15.26 (2012)	Tried with GPB, Ebihara and oxpro	NA	prev estimate 14.82	NA	1
RBGE	ZAG1890	DTOL	Monilophyte	Blechnaceae	Blechnum	spicant	>Pisum	GPB3%PVPBmet	375.87	621.26	2.04	3.49	1.344	645.88	388.4766667	15.11	7.56	7.39	3.34	2.36	0.010	Sahr Mian	13/8/2020	NA	12.87 (2013)*	Tried with ebihara, GPB and LB	NA	NA	NA	1
RBGE	ZAG1887	DTOL	Lycophyte	Lycopodiaceae	Lycopodium	clavatum	<Pisum	OXPRO	327.38	513.05	3.12	1.71	1.567	339.8166667	527.6466667	5.85	2.93	2.86	3.12	1.59	0.021	Sahr Mian	13/8/2020	NA	5.72  (2002)*	Tried with ebihara, GPB and LB	NA	NA	NA	1
RBGE	ZAG1878	DTOL	Angiosperm	Myricaceae	Myrica	gale	<Oryza	OXPRO	353.6	587.26	4.33	3.99	2.442	376.0066667	617.2666667	0.61	0.3	0.3	3.82	3.48	0.023	Sahr Mian	13/8/2020	NA	0.84 (2001)* 3.4 (2012)	Tried with ebihara, GPB and LB	prev estimate 0.84 (messy sample)	NA	NA	1
RBGE	ZAG1876	DTOL	Gymnosperm	Pinaceae	Pinus	sylvestris	>Allium	OXPRO	464.84	620.27	2.86	2.19	5.395	620.21	465.21	46.51	23.26	22.75	2.21	2.64	0.019	Sahr Mian	13/8/2020	NA	45.96 (2008)* 46.40 (2001), 46.08 previous kew estimate	NA	NA	NA	NA	1
Offsite	MC9039	DTOL	Angiosperm	Asteraceae	Pulicaria	dysenterica	<Petro	GPB3%PVPBmet	193.67	401.77	3.05	2.83	2.074	199.9366667	410.6233333	2.19	1.1	1.07	3.02	2.73	0.019	Sahr Mian	9/1/2020	KDTOL10042	1.97 (2013)*	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9040	DTOL	Angiosperm	Rosaceae	Potentilla	anserina	<Petro	GPB3%PVPBmet	211.52	860.27	2.6	2.03	4.067	215.99	869.88	1.12	0.56	0.55	2.56	1.57	0.041	Sahr Mian	9/1/2020	KDTOL10043	no previous estimate	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9041	DTOL	Angiosperm	Brassicaceae	Arabidopsis	thaliana	<Solanum	GPB3%PVPBmet	133.49	765.3	4.56	2.21	5.733	141.4266667	788.1466667	0.36	0.18	0.18	4.32	1.85	0.152	Sahr Mian	24/08/2020	KDTOL10045	0.32 (2002)*	Endopolyploidy - multiple peaks	NA	Sanger - low DNA yield	NA	1
Offsite	MC9042	DTOL	Angiosperm	Asteraceae	Chamaemelum	nobile	>Petro	GPB3%PVPBmet	225.24	496.68	2.34	2.39	2.205	507.8133333	231.8333333	9.86	4.93	4.82	2.38	2.35	0.014	Sahr Mian	24/08/2020	KDTOL10046	10.70 (1984)*	NA	NA	NA	NA	1
Offsite	MC9043	DTOL	Angiosperm	Plantaginaceae	Chaenorhinum	minus	<Solanum	OXPRO	201.5	443.9	3.37	2.43	2.203	215.91	474.11	0.91	0.46	0.45	3.41	2.66	0.018	Sahr Mian	9/1/2020	KDTOL10047	no previous estimate	Difficult sample, ran multiple individuals, all fresh, tried all buffers, prev estimate 0.57	NA	NA	NA	1
Offsite	MC9045	DTOL	Angiosperm	Dioscoreaceae	Dioscorea	communis	<Petro	Ebihara	299.09	582.07	5.03	3.23	1.946	309.1633333	527.3233333	2.64	1.32	1.29	4.67	3.17	0.420	Sahr Mian	24/08/2020	KDTOL10049	1.66 (2014)*	Really messy sample, few nuclei. Ran sample to 500 in each run, G2 peak overalap with standard. Female measured	NA	NA	NA	1
Offsite	MC9046	DTOL	Monilophyte	Equisetaceae	Equisetum	telmateia	<Allium	GPB3%PVPBmet	326.98	403.93	3.78	3.05	1.235	351.85	426.41	28.79	14.39	14.08	3.79	2.86	0.021	Sahr Mian	24/8/2020	KDTOL10050	no previous estimate	NA	NA	NA	NA	1
Offsite	MC9047	DTOL	Angiosperm	Polygonaceae	Reynoutria	japonica	>Petro	GPB3%PVPBmet	285.73	642.83	2.96	3.2	2.25	659.5166667	298.89	9.93	4.96	4.86	3.12	3.12	0.047	Sahr Mian	24/08/2020	KDTOL10051	1.55 (2013)*	potential hexaploid?	NA	NA	NA	1
Offsite	MC9048	DTOL	Angiosperm	Brassicaceae	Cakile	maritima	<Petro	GPB3%PVPBmet	234.72	626.3	2.98	2	2.668	247.8466667	643.2866667	1.73	0.87	0.85	2.99	1.75	0.071	Sahr Mian	24/08/2020	KDTOL10052	1.36 (2009)*	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9049	DTOL	Angiosperm	Caryophyllaceae	Honckenya	peploides	>Petro	GPB3%PVPBmet	284.24	532.21	2.13	2.56	1.872	538.1133333	288.3366667	8.4	4.2	4.11	2.28	2.04	0.006	Sahr Mian	24/08/2020	KDTOL10053	8.66 (2009)*	Sanger - low DNA yield	NA	NA	NA	1
Offsite	M9050	DTOL	Angiosperm	Apiaceae	Crithmum	maritimum	<Pisum	GPB3%PVPBmet	324.97	583.21	2.97	2.32	1.795	329.28	586.2466667	5.11	2.55	2.5	2.9	2.16	0.016	Sahr Mian	24/08/2020	KDTOL10054	4.83 (2008)* 4.59 (2010)	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9051	DTOL	Angiosperm	Euphorbiaceae	Mercurialis	annua	<Petro	OXPRO	189.8	622.5	3.66	2.74	3.28	192.62	613.08	1.41	0.71	0.69	3.97	2.68	0.093	Sahr Mian	28/08/2020	KDTOL10055	1.33, 2.60 (2006)*	All buffers tried, messy sample, FEMALE PLANT MEASURED	NA	NA	NA	1
Offsite	MC9053	DTOL	Angiosperm	Adoxaceae	Sambucus	nigra	<Allium	GPB3%PVPBmet	326.84	417.58	2.19	2.81	1.278	334.2266667	425.7933333	27.39	13.69	13.39	2.41	2.85	0.004	Sahr Mian	28/08/2020	KDTOL10057	26.36 (2013)* 30.5 (1983)	NA	NA	NA	NA	1
Offsite	MC9054	DTOL	Angiosperm	Apiaceae	Daucus	carota	<Solanum	GPB3%PVPBmet	247.71	442.85	3.14	2.68	2.203	255.07	451.8266667	1.13	0.56	0.55	2.86	2.59	0.018	Sahr Mian	28/08/2020	KDTOL10058	0.94 (2016)* 1.19 (1993)	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9055	DTOL	Angiosperm	Rosaceae	Geum	urbanum	<Petro	GPB3%PVPBmet	283.62	395.49	3.2	2.53	1.394	301.2966667	412.6866667	3.29	1.64	1.61	3.06	2.62	0.022	Sahr Mian	28/08/2020	KDTOL10059	3.01 (2012)* 3.23 (2013)	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9056	DTOL	Angiosperm	Polygonaceae	Rumex	sanguineus	<Petro	OXPRO	198.72	518.06	3.97	2.72	2.607	214.0466667	545.7133333	1.77	0.88	0.86	3.38	2.62	0.053	Sahr Mian	28/08/2020	KDTOL10060	no previous estimate	All buffers tried	Sanger - low DNA yield	NA	NA	1
Offsite	MC9057	DTOL	Angiosperm	Urticaceae	Parietaria	judaica	<Solanum	GPB3%PVPBmet	307.74	404.02	3.6	2.66	1.313	329.55	429.54	1.53	0.77	0.75	3.07	2.55	0.012	Sahr Mian	28/08/2020	KDTOL10061	no previous estimate	NA	NA	NA	NA	1
Offsite	MC9058	DTOL	Angiosperm	Fabaceae	Onobrychis	viciifolia	<Petro	GPB3%PVPBmet	298.18	462.13	3.17	2.09	1.55	310.11	478.9833333	2.91	1.46	1.42	3	1.9	0.008	Sahr Mian	27/08/2020	KDTOL10062	2.5 (2012)* 2.63 (2013)	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9059	DTOL	Angiosperm	Simaroubaceae	Ailanthus	altissima	<Petro	GPB3%PVPBmet	276.66	520.7	2.96	2.42	1.881	314.13	589.73	2.4	1.2	1.17	2.79	2.76	0.023	Sahr Mian	27/08/2020	KDTOL10063	2.08 (2013)	Sanger - low DNA yield	NA	NA	NA	1
Offsite	MC9060	DTOL	Angiosperm	Asteraceae	Ciceribita	muralis	<Pisum	GPB3%PVPBmet	281.96	651.13	2.9	2.45	2.309	294.7366667	669.9933333	4	2	1.96	2.87	2.39	0.033	Sahr Mian	28/08/2020	KDTOL10064	4 (2002)*	NA	NA	NA	NA	1
Offsite	MC9061	DTOL	Angiosperm	Asteraceae	Bellis	perennis	>Solanum	GPB3%PVPBmet	311.85	558.46	2.93	2.39	1.791	571.1833333	320.9966667	3.56	1.78	1.74	2.64	2.9	0.011	Sahr Mian	28/08/2020	KDTOL10065	3.15 (2013)*  3.9 (1984)	NA	NA	NA	NA	1
