available_samples_ready	common_name	desc	family	family_representative	family_representative_link	genome_notes	genus	infra_epithet	lab_work_status	marked_done	material_status	order_group	prefix	project_code	sample_count	scientific_name	sequencing_material_status_updated_at	sequencing_status	species_id	submitted_gals	taxon_group	taxon_id	taxon_uri	tissue_depleted	tissue_status	sequencing_status_simple	sequencing_status_dtol	sequencing_status_asg	sequencing_status_ergapi	sequencing_status_vgp	sequencing_status_blax	sequencing_status_durb	sequencing_status_rnd	sequencing_status_lawn	sequencing_status_berri	sequencing_status_meier	sequencing_status_misk	sample_collected	sample_acquired	in_progress
No		ACCEPTED	Tingidae				Acalypta		[{'status': 'DNA_EXTRACTED', 'updated_at': '2021-06-21T17:00:29.984118'}, {'status': 'TISSUE_SUBSAMPLE', 'updated_at': '2022-05-17T19:11:57.674246'}]		RECOLLECTION_REQUIRED	Hemiptera	ihAcaParv	['DTOL']	1	Acalypta parvula			1415	NATURAL HISTORY MUSEUM	Arthropoda	1400082		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	boot sponge	ACCEPTED	Rossellidae				Acanthascus		[{'status': '10X_SUBMITTED', 'updated_at': '2021-11-24T23:26:00.471329'}, {'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-25T00:08:58.030395'}]			Lyssacinosida	ohAcaDaws	['ASG']	10	Acanthascus dawsoni		[{'status': 'IN_PROGRESS', 'name': 'HIC', 'updated_at': '2021-11-25T00:08:58.030395'}, {'status': 'COMPLETE', 'name': '10X', 'updated_at': '2021-12-19T21:26:11.647365'}]	1440	GEOMAR HELMHOLTZ CENTRE	Porifera	472225		False	Yes	in_progress		in_progress										ASG	ASG	ASG
Yes	Spiny cockle	ACCEPTED	Cardiidae				Acanthocardia		[{'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-25T00:07:53.756309'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-11-01T15:17:38.371144'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2022-10-20T11:15:57.969847'}]			Cardiida	xbAcaAcul	['DTOL']	10	Acanthocardia aculeata		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2021-12-19T21:22:38.388094'}, {'status': 'IN_PROGRESS', 'name': 'PACBIO', 'updated_at': '2022-11-01T15:17:38.408927'}]	1611	MARINE BIOLOGICAL ASSOCIATION	Mollusca	1699427		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	tuberculate cockle	ACCEPTED	Cardiidae				Acanthocardia		[{'status': 'NOVEL', 'updated_at': '2022-10-20T14:18:10.230088'}]			Cardiida	xbAcaTube	['DTOL']	1	Acanthocardia tuberculata			4098	MARINE BIOLOGICAL ASSOCIATION	Mollusca	385555			Unk	sample_acquired	sample_acquired											DTOL	DTOL	
Yes	A chiton	ACCEPTED	Acanthochitonidae	{DTOL}	https://goat.genomehubs.org/preview/search?query=tax_tree%28126420%29&fields=HabReg_2017%2CMarHabReg-2017%2Cwaca_1981%2Cisb_wildlife_act_1976%2CProtection_of_Badgers_Act_1992%2CECHabs92&summaryValues=count&result=taxon		Acanthochitona		[{'status': '10X_SUBMITTED', 'updated_at': '2021-11-24T23:24:20.1849'}, {'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-25T00:09:17.67119'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2021-11-24T23:24:20.1849'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2022-08-15T12:10:10.310358'}]			Chitonida	xpAcaCrin	['DTOL']	10	Acanthochitona crinita		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2021-12-19T21:21:09.861772'}, {'status': 'IN_PROGRESS', 'name': 'PACBIO', 'updated_at': '2021-11-24T23:24:20.1849'}, {'status': 'COMPLETE', 'name': '10X', 'updated_at': '2021-12-19T21:23:03.624805'}]	846	MARINE BIOLOGICAL ASSOCIATION	Mollusca	126420			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
No	Hawthorn shieldbug	ACCEPTED	Acanthosomatidae	{DTOL}	https://goat.genomehubs.org/preview/search?query=tax_tree%28483950%29&fields=HabReg_2017%2CMarHabReg-2017%2Cwaca_1981%2Cisb_wildlife_act_1976%2CProtection_of_Badgers_Act_1992%2CECHabs92&summaryValues=count&result=taxon		Acanthosoma		[{'status': '10X_SUBMITTED', 'updated_at': '2021-11-24T23:41:14.310716'}, {'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-25T00:14:58.932606'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2021-11-24T23:41:14.310716'}]			Hemiptera	ihAcaHaem	['DTOL']	2	Acanthosoma haemorrhoidale		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2021-12-19T21:21:36.779004'}, {'status': 'COMPLETE', 'name': 'PACBIO', 'updated_at': '2022-10-05T13:59:54.466499'}, {'status': 'COMPLETE', 'name': '10X', 'updated_at': '2021-12-19T21:26:27.044848'}]	1476	UNIVERSITY OF OXFORD	Arthropoda	483950			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
No	threadfin acara		Cichlidae				Acarichthys		[{'status': 'NOVEL', 'updated_at': None}]			Cichliformes	fAcaHec	['DURB']	10	Acarichthys heckelii			2665	SANGER INSTITUTE	Chordata	81343			Unk	sample_acquired						sample_acquired						DURB	DURB	
No			Cichlidae				Acaronia		[{'status': 'NOVEL', 'updated_at': None}]			Cichliformes	fAcaNas	['DURB']	10	Acaronia nassa			2675	SANGER INSTITUTE	Chordata	74119			Unk	sample_acquired						sample_acquired						DURB	DURB	
No	Yellow-barred brindle	ACCEPTED	Geometridae				Acasis		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-06-08T10:25:28.64688'}]		RECOLLECTION_REQUIRED	Lepidoptera	ilAcaVire	['DTOL']	1	Acasis viretata	2022-10-27 19:18:06	[{'status': 'IN_PROGRESS', 'name': 'HIC', 'updated_at': '2022-06-08T10:25:28.691748'}]	2926	UNIVERSITY OF OXFORD	Arthropoda	934820		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	Northern goshawk	ACCEPTED	Accipitridae				Accipiter		[{'status': '10X_SUBMITTED', 'updated_at': '2021-11-24T23:38:52.725804'}, {'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-24T23:39:30.05984'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2021-11-24T23:38:52.725804'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2022-07-11T16:11:55.620351'}]			Accipitriformes	bAccGen	['DTOL']	30	Accipiter gentilis		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2021-12-19T21:22:01.342296'}, {'status': 'COMPLETE', 'name': 'PACBIO', 'updated_at': '2021-12-19T21:19:29.20182'}, {'status': 'COMPLETE', 'name': '10X', 'updated_at': '2021-12-19T21:25:15.396894'}]	1397	SANGER INSTITUTE	Chordata	8957			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	Water veneer	ACCEPTED	Crambidae				Acentria		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-06-08T10:21:44.877365'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-06-08T10:27:22.653961'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2022-07-21T12:25:14.754881'}]			Lepidoptera	ilAceEphe	['DTOL']	5	Acentria ephemerella		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2022-06-08T10:29:07.11788'}, {'status': 'COMPLETE', 'name': 'PACBIO', 'updated_at': '2022-09-07T12:43:15.584061'}]	2873	UNIVERSITY OF OXFORD	Arthropoda	1666818			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	hedge maple	ACCEPTED	Sapindaceae	{DTOL}	https://goat.genomehubs.org/preview/search?query=tax_tree%2866205%29&fields=HabReg_2017%2CMarHabReg-2017%2Cwaca_1981%2Cisb_wildlife_act_1976%2CProtection_of_Badgers_Act_1992%2CECHabs92&summaryValues=count&result=taxon		Acer		[{'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-25T00:06:36.803296'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2021-11-24T23:43:31.422325'}]			Sapindales	drAceCamp	['DTOL']	8	Acer campestre		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2021-12-19T21:22:04.541877'}, {'status': 'COMPLETE', 'name': 'PACBIO', 'updated_at': '2022-10-17T07:40:02.778574'}]	567	ROYAL BOTANIC GARDENS KEW	Tracheophyta	66205		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	sycamore maple	ACCEPTED	Sapindaceae				Acer		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-10-24T19:00:13.65758'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-11-08T19:00:08.877842'}]			Sapindales	drAcePsed	['DTOL']	8	Acer pseudoplatanus		[{'status': 'IN_PROGRESS', 'name': 'HIC', 'updated_at': '2022-10-24T19:00:13.699944'}, {'status': 'IN_PROGRESS', 'name': 'PACBIO', 'updated_at': '2022-11-08T19:00:08.919013'}]	1842	ROYAL BOTANIC GARDENS KEW	Streptophyta	4026		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
Yes		ACCEPTED	Asteraceae				Achillea		[{'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-10-04T11:07:43.82933'}, {'status': 'TISSUE_SUBSAMPLE', 'updated_at': '2022-07-26T14:55:35.608595'}]			Asterales	daAchMill	['DTOL']	4	Achillea millefolium		[{'status': 'IN_PROGRESS', 'name': 'PACBIO', 'updated_at': '2022-10-04T11:07:43.865298'}]	2467	ROYAL BOTANIC GARDENS KEW	Tracheophyta	13329		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
Yes		ACCEPTED	Asteraceae				Achillea		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-06-08T10:24:13.478731'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-10-04T11:07:55.423362'}]			Asterales	daAchPtar	['DTOL']	4	Achillea ptarmica		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2022-06-08T10:30:14.97883'}, {'status': 'IN_PROGRESS', 'name': 'PACBIO', 'updated_at': '2022-10-04T11:07:55.45913'}]	2982	ROYAL BOTANIC GARDEN EDINBURGH	Tracheophyta	133233		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	Yellow Horned	ACCEPTED	Drepanidae				Achlya		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-10-04T10:55:12.158228'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-10-04T11:07:15.276851'}]			Lepidoptera	ilAchFlav	['DTOL']	4	Achlya flavicornis		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2022-10-19T07:36:03.560621'}, {'status': 'COMPLETE', 'name': 'PACBIO', 'updated_at': '2022-10-17T07:40:09.200164'}]	4157	UNIVERSITY OF OXFORD	Arthropoda	753485		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	Star devouring scaleworm	ACCEPTED	Polynoidae				Acholoe		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-06-08T10:24:20.62998'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-11-01T15:17:48.374252'}]			Phyllodocida	wpAchSqua	['DTOL']	3	Acholoe squamosa		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2022-06-08T10:30:15.271991'}, {'status': 'IN_PROGRESS', 'name': 'PACBIO', 'updated_at': '2022-11-01T15:17:48.415137'}]	3513	MARINE BIOLOGICAL ASSOCIATION	Annelida	2922911		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
No		ACCEPTED	Ichneumonidae				Aclastus		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-11-07T20:00:09.531306'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-11-09T04:20:09.990821'}]			Hymenoptera	iyAclSolu	['DTOL']	2	Aclastus solutus		[{'status': 'IN_PROGRESS', 'name': 'HIC', 'updated_at': '2022-11-07T20:00:09.572356'}, {'status': 'IN_PROGRESS', 'name': 'PACBIO', 'updated_at': '2022-11-09T04:20:10.028416'}]	4583	NATURAL HISTORY MUSEUM	Arthropoda	1667461		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
No	Tufted Button	ACCEPTED	Tortricidae				Acleris		[{'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-24T23:22:08.064539'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2021-11-24T23:36:26.487625'}]			Lepidoptera	ilAclCris	['DTOL']	2	Acleris cristana		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2021-12-19T21:21:19.780723'}, {'status': 'IN_PROGRESS', 'name': 'PACBIO', 'updated_at': '2021-11-24T23:36:26.487625'}]	1181	UNIVERSITY OF OXFORD	Arthropoda	758705		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
No	Notch-wing Button	ACCEPTED	Tortricidae				Acleris		[{'status': '10X_SUBMITTED', 'updated_at': '2021-11-24T23:36:27.571644'}, {'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-24T23:28:11.529047'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2021-11-24T23:36:27.571644'}]			Lepidoptera	ilAclEmar	['DTOL']	2	Acleris emargana		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2021-12-19T21:22:21.466975'}, {'status': 'COMPLETE', 'name': 'PACBIO', 'updated_at': '2021-12-19T21:19:19.041564'}, {'status': 'COMPLETE', 'name': '10X', 'updated_at': '2021-12-19T21:24:37.961322'}]	1155	UNIVERSITY OF OXFORD	Arthropoda	758706			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
No	Rusty oak button	ACCEPTED	Tortricidae				Acleris		[{'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-24T23:34:49.856141'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-10-04T11:07:40.478639'}]		RECOLLECTION_REQUIRED	Lepidoptera	ilAclFerr	['DTOL']	1	Acleris ferrugana	2022-07-21 15:33:42	[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2021-12-19T21:21:33.264213'}, {'status': 'IN_PROGRESS', 'name': 'PACBIO', 'updated_at': '2022-10-04T11:07:40.513218'}]	1553	UNIVERSITY OF OXFORD	Arthropoda	758707		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
No	Sallow button	ACCEPTED	Tortricidae				Acleris		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-06-08T10:23:27.101007'}]		RECOLLECTION_REQUIRED	Lepidoptera	ilAclHast	['DTOL']	1	Acleris hastiana		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2022-06-08T10:29:46.647445'}]	2847	UNIVERSITY OF OXFORD	Arthropoda	1594215		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
No	White-triangle Button	ACCEPTED	Tortricidae				Acleris		[{'status': 'DNA_EXTRACTED', 'updated_at': '2021-06-21T17:00:29.984118'}, {'status': 'HIC_SUBMITTED', 'updated_at': '2022-10-24T19:00:08.357153'}]			Lepidoptera	ilAclHolm	['DTOL']	2	Acleris holmiana		[{'status': 'IN_PROGRESS', 'name': 'HIC', 'updated_at': '2022-10-24T19:00:08.397399'}]	983	UNIVERSITY OF OXFORD	Arthropoda	572802			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
No	Elm button	ACCEPTED	Tortricidae				Acleris		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-06-08T10:25:26.306904'}]		RECOLLECTION_REQUIRED	Lepidoptera	ilAclKoch	['DTOL']	1	Acleris kochiella	2022-10-27 19:21:35	[{'status': 'IN_PROGRESS', 'name': 'HIC', 'updated_at': '2022-06-08T10:25:26.351851'}]	2856	UNIVERSITY OF OXFORD	Arthropoda	758708		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
Yes		ACCEPTED	Tortricidae				Acleris		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-10-04T10:54:33.780237'}]			Lepidoptera	ilAclLate	['DTOL']	2	Acleris laterana		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2022-10-04T11:42:40.489785'}]	3683	NATURAL HISTORY MUSEUM	Arthropoda	758709			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
No	Lichen button	ACCEPTED	Tortricidae				Acleris		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-06-08T10:22:27.834269'}]			Lepidoptera	ilAclLite	['DTOL']	1	Acleris literana		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2022-06-08T10:29:13.960381'}]	2867	UNIVERSITY OF OXFORD	Arthropoda	1100899		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
Yes		ACCEPTED	Tortricidae				Acleris		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-11-07T20:00:13.162102'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-11-09T04:20:07.770661'}]			Lepidoptera	ilAclNota	['DTOL']	4	Acleris notana		[{'status': 'IN_PROGRESS', 'name': 'HIC', 'updated_at': '2022-11-07T20:00:13.201939'}, {'status': 'IN_PROGRESS', 'name': 'PACBIO', 'updated_at': '2022-11-09T04:20:07.810644'}]	3413	NATURAL HISTORY MUSEUM	Arthropoda	758713			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
No	Rhomboid Tortrix	ACCEPTED	Tortricidae				Acleris		[{'status': '10X_SUBMITTED', 'updated_at': '2021-11-24T23:44:12.250923'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2021-11-24T23:44:12.250923'}, {'status': 'TISSUE_SUBSAMPLE', 'updated_at': '2022-06-21T08:39:06.931112'}]		RECOLLECTION_REQUIRED	Lepidoptera	ilAclRhom	['DTOL']	1	Acleris rhombana		[{'status': 'IN_PROGRESS', 'name': 'PACBIO', 'updated_at': '2021-11-24T23:44:12.250923'}, {'status': 'COMPLETE', 'name': '10X', 'updated_at': '2021-12-19T21:26:12.412711'}]	1548	UNIVERSITY OF OXFORD	Arthropoda	758714		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	Ashy button	ACCEPTED	Tortricidae				Acleris		[{'status': '10X_SUBMITTED', 'updated_at': '2021-11-24T23:44:13.356281'}, {'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-24T23:34:46.847176'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2021-11-24T23:44:13.356281'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2022-07-21T12:25:23.113692'}]			Lepidoptera	ilAclSpar	['DTOL']	3	Acleris sparsana		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2021-12-19T21:21:33.717877'}, {'status': 'COMPLETE', 'name': 'PACBIO', 'updated_at': '2021-12-19T21:20:31.281724'}, {'status': 'COMPLETE', 'name': '10X', 'updated_at': '2021-12-19T21:26:10.337409'}]	1547	NATURAL HISTORY MUSEUM,UNIVERSITY OF OXFORD	Arthropoda	758717			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
No	Garden Rose Tortrix	ACCEPTED	Tortricidae				Acleris		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-10-04T10:55:10.269064'}]			Lepidoptera	ilAclVari	['DTOL']	1	Acleris variegana		[{'status': 'COMPLETE', 'name': 'HIC', 'updated_at': '2022-10-19T07:36:13.44886'}]	4134	UNIVERSITY OF OXFORD	Arthropoda	572803		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
No		ACCEPTED	Chironomidae				Acricotopus		[{'status': 'DNA_EXTRACTED', 'updated_at': '2021-06-21T17:00:29.984118'}]		RECOLLECTION_REQUIRED	Diptera	idAcrLuce	['DTOL']	1	Acricotopus lucens			389	NATURAL HISTORY MUSEUM	Arthropoda	59808			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
No	NA	ACCEPTED	Histeridae				Acritus		[{'status': 'ASSIGNED_TO_LAB', 'updated_at': '2022-03-18T00:00:00'}]			Coleoptera	icAcrNigr	['DTOL']	1	Acritus nigricornis			2183	UNIVERSITY OF OXFORD	Arthropoda	877760		True	No	sample_acquired	sample_acquired											DTOL	DTOL	
No	Grey Knot-horn	ACCEPTED	Pyralidae				Acrobasis		[{'status': 'ASSIGNED_TO_LAB', 'updated_at': '2022-03-18T00:00:00'}]			Lepidoptera	ilAcrAdve	['DTOL']	1	Acrobasis advenella			2902	UNIVERSITY OF OXFORD	Arthropoda	1594216		True	No	sample_acquired	sample_acquired											DTOL	DTOL	
